word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
revived,"<crowd-radio-button name="def_1-0" value="def_1-0">cause to regain consciousness</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">give new life or energy to</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">be brought back to life, consciousness, or strength</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">restore from a depressed, inactive, or unused state</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">return to consciousness</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">restored to consciousness or life or vigor</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">given fresh life or vigor or spirit</crowd-radio-button>",resuscitated,"<crowd-radio-button name="def_2-0" value="def_2-0">cause to regain consciousness</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">return to consciousness</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">restored to life or consciousness</crowd-radio-button>",o,o,o,o
oil,"<crowd-radio-button name="def_1-0" value="def_1-0">a slippery or viscous liquid or liquefiable substance not miscible with water</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">oil paint containing pigment that is used by an artist</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a dark oil consisting mainly of hydrocarbons</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">any of a group of liquid edible fats that are obtained from plants</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">cover with oil, as if by rubbing</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">administer an oil or ointment to ; often in a religious ceremony of blessing</crowd-radio-button>",o,beginnings,"<crowd-radio-button name="def_2-0" value="def_2-0">the event consisting of the start of something</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the time at which something is supposed to begin</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the first part or section of something</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the place where something begins, where it springs into being</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">the act of starting something</crowd-radio-button>",o,o
symbolizing,"<crowd-radio-button name="def_1-0" value="def_1-0">the act of representing something with a symbol</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">express indirectly by an image, form, or model; be a symbol</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">represent or identify by using a symbol; use symbols</crowd-radio-button>",o,o,o,o,conception,"<crowd-radio-button name="def_2-0" value="def_2-0">an abstract or general idea inferred or derived from specific instances</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the act of becoming pregnant; fertilization of an ovum by a spermatozoon</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the event that occurred at the beginning of something</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the creation of something in the mind</crowd-radio-button>",o,o,o
bach,"<crowd-radio-button name="def_1-0" value="def_1-0">German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the music of Bach</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">lead a bachelor's existence</crowd-radio-button>",o,o,o,o,us,"<crowd-radio-button name="def_2-0" value="def_2-0">North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the 21st letter of the Roman alphabet</crowd-radio-button>",o,o,o
backpedaled,"<crowd-radio-button name="def_1-0" value="def_1-0">pedal backwards on a bicycle</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">step backwards, in boxing</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">modify one's opinion, make it less strong</crowd-radio-button>",o,o,o,o,us,"<crowd-radio-button name="def_2-0" value="def_2-0">North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the 21st letter of the Roman alphabet</crowd-radio-button>",o,o,o
lambasting,"<crowd-radio-button name="def_1-0" value="def_1-0">beat with a cane</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">censure severely or angrily</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">beat with a cane</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">censure severely or angrily</crowd-radio-button>",o,o,o,reprimand,"<crowd-radio-button name="def_2-0" value="def_2-0">an act or expression of criticism and censure</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">rebuke formally</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">censure severely or angrily</crowd-radio-button>",o,o,o,o
settlement,"<crowd-radio-button name="def_1-0" value="def_1-0">a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a community of people smaller than a town</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a conclusive resolution of a matter and disposition of it</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">the act of colonizing; the establishment of colonies</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">something settled or resolved; the outcome of decision making</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">an area where a group of families live together</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">termination of a business operation by using its assets to discharge its liabilities</crowd-radio-button>",pioneers,"<crowd-radio-button name="def_2-0" value="def_2-0">someone who helps to open up a new line of research or technology or art</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">one the first colonists or settlers in a new territory</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">open up an area or prepare a way</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">take the lead or initiative in; participate in the development of</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">open up and explore a new area</crowd-radio-button>",o,o
thawing,"<crowd-radio-button name="def_1-0" value="def_1-0">the process whereby heat changes something from a solid to a liquid</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">warm weather following a freeze; snow and ice melt</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">become or cause to become soft or liquid</crowd-radio-button>",o,o,o,o,thaw,"<crowd-radio-button name="def_2-0" value="def_2-0">the process whereby heat changes something from a solid to a liquid</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">warm weather following a freeze; snow and ice melt</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a relaxation or slackening of tensions or reserve; becoming less hostile</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">become or cause to become soft or liquid</crowd-radio-button>",o,o,o
feigned,"<crowd-radio-button name="def_1-0" value="def_1-0">make believe with the intent to deceive</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">make a pretence of</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">not genuine</crowd-radio-button>",o,o,o,o,pretense,"<crowd-radio-button name="def_2-0" value="def_2-0">the act of giving a false appearance</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">pretending with intention to deceive</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">imaginative intellectual play</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a false or unsupportable quality</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">an artful or simulated semblance</crowd-radio-button>",o,o
flame,"<crowd-radio-button name="def_1-0" value="def_1-0">the process of combustion of inflammable materials producing heat and light and (often) smoke</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">shine with a sudden light</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">be in flames or aflame</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">criticize harshly, usually via an electronic medium</crowd-radio-button>",o,o,o,brilliant,"<crowd-radio-button name="def_2-0" value="def_2-0">of surpassing excellence</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">having or marked by unusual and impressive intelligence</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">characterized by grandeur</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">having striking color</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">full of light; shining intensely</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">clear and sharp and ringing</crowd-radio-button>",o
ordinary,"<crowd-radio-button name="def_1-0" value="def_1-0">a judge of a probate court</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the expected or commonplace condition or situation</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a clergyman appointed to prepare condemned prisoners for death</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">an early bicycle with a very large front wheel and small back wheel</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">(heraldry) any of several conventional figures used on shields</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">not exceptional in any way especially in quality or ability or size or degree</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">lacking special distinction, rank, or status; commonly encountered</crowd-radio-button>",everyday,"<crowd-radio-button name="def_2-0" value="def_2-0">found in the ordinary course of events; ; ; - Anita Diamant</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">appropriate for ordinary or routine occasions</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">commonplace and ordinary</crowd-radio-button>",o,o,o,o
dazzled,"<crowd-radio-button name="def_1-0" value="def_1-0">to cause someone to lose clear vision, especially from intense light</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">amaze or bewilder, as with brilliant wit or intellect or skill</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">having vision overcome temporarily by or as if by intense light</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">stupefied or dizzied by something overpowering; - `Chanticler' by Rostand</crowd-radio-button>",o,o,o,dazzle,"<crowd-radio-button name="def_2-0" value="def_2-0">brightness enough to blind partially and temporarily</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">to cause someone to lose clear vision, especially from intense light</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">amaze or bewilder, as with brilliant wit or intellect or skill</crowd-radio-button>",o,o,o,o
phrases,"<crowd-radio-button name="def_1-0" value="def_1-0">an expression consisting of one or more words forming a grammatical constituent of a sentence</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a short musical passage</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">an expression whose meanings cannot be inferred from the meanings of the words that make it up</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">dance movements that are linked in a single choreographic sequence</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">put into words or an expression</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">divide, combine, or mark into phrases</crowd-radio-button>",o,rhythm,"<crowd-radio-button name="def_2-0" value="def_2-0">the basic rhythmic unit in a piece of music</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">recurring at regular intervals</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">an interval during which a recurring sequence of events occurs</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the arrangement of spoken words alternating stressed and unstressed elements</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)</crowd-radio-button>",o,o
unfailing,"<crowd-radio-button name="def_1-0" value="def_1-0">not liable to failure</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">always able to supply more</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">unceasing</crowd-radio-button>",o,o,o,o,changeless,"<crowd-radio-button name="def_2-0" value="def_2-0">not subject or susceptible to change or variation in form or quality or nature</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">unvarying in nature</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">remaining the same for indefinitely long times</crowd-radio-button>",o,o,o,o
sunfish,"<crowd-radio-button name="def_1-0" value="def_1-0">the lean flesh of any of numerous American perch-like fishes of the family Centrarchidae</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">among the largest bony fish; pelagic fish having an oval compressed body with high dorsal and anal fins and caudal fin reduced to a rudder-like lobe; worldwide in warm waters</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">small carnivorous freshwater percoid fishes of North America usually having a laterally compressed body and metallic luster: crappies; black bass; bluegills; pumpkinseed</crowd-radio-button>",o,o,o,o,sun,"<crowd-radio-button name="def_2-0" value="def_2-0">the star that is the source of light and heat for the planets in the solar system</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the rays of the sun</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a person considered as a source of warmth or energy or glory etc</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">any star around which a planetary system revolves</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">first day of the week; observed as a day of rest and worship by most Christians</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">expose one's body to the sun</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">expose to the rays of the sun or affect by exposure to the sun</crowd-radio-button>"
insensible,"<crowd-radio-button name="def_1-0" value="def_1-0">incapable of physical sensation</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">unaware of or indifferent to</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">barely able to be perceived</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">unresponsive to stimulation</crowd-radio-button>",o,o,o,reasonable,"<crowd-radio-button name="def_2-0" value="def_2-0">showing reason or sound judgment</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">not excessive or extreme</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">marked by sound judgment</crowd-radio-button>",o,o,o,o
elastic,"<crowd-radio-button name="def_1-0" value="def_1-0">a narrow band of elastic rubber used to hold things (such as papers) together</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a fabric made of yarns containing an elastic material</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">capable of resuming original shape after stretching or compression; springy</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">able to adjust readily to different conditions</crowd-radio-button>",o,o,o,pliable,"<crowd-radio-button name="def_2-0" value="def_2-0">susceptible to being led or directed</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">capable of being shaped or bent or drawn out</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">able to adjust readily to different conditions</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">capable of being bent or flexed or twisted without breaking</crowd-radio-button>",o,o,o
prevarication,"<crowd-radio-button name="def_1-0" value="def_1-0">a statement that deviates from or perverts the truth</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">intentionally vague or ambiguous</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the deliberate act of deviating from the truth</crowd-radio-button>",o,o,o,o,historical,"<crowd-radio-button name="def_2-0" value="def_2-0">of or relating to the study of history</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">having once lived or existed or taken place in the real world as distinct from being legendary</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">belonging to the past; of what is important or famous in the past</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">used of the study of a phenomenon (especially language) as it changes through time</crowd-radio-button>",o,o,o
surround,"<crowd-radio-button name="def_1-0" value="def_1-0">the area in which something exists or lives</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">extend on all sides of simultaneously; encircle</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">envelop completely</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">surround so as to force to give up</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">surround with a wall in order to fortify</crowd-radio-button>",o,o,fence,"<crowd-radio-button name="def_2-0" value="def_2-0">a barrier that serves to enclose an area</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a dealer in stolen property</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">enclose with a fence</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">receive stolen goods</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">fight with fencing swords</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">surround with a wall in order to fortify</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">have an argument about something</crowd-radio-button>"
door,"<crowd-radio-button name="def_1-0" value="def_1-0">a swinging or sliding barrier that will close the entrance to a room or building or vehicle</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">anything providing a means of access (or escape)</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">a structure where people live or work (usually ordered along a street or road)</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">a room that is entered via a door</crowd-radio-button>",o,o,slamming,"<crowd-radio-button name="def_2-0" value="def_2-0">close violently</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">strike violently</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">dance the slam dance</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">throw violently</crowd-radio-button>",o,o,o
thrumming,"<crowd-radio-button name="def_1-0" value="def_1-0">sound with a monotonous hum</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">sound the strings of (a string instrument)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">make a rhythmic sound</crowd-radio-button>",o,o,o,o,thrum,"<crowd-radio-button name="def_2-0" value="def_2-0">a thrumming sound</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">sound with a monotonous hum</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">sound the strings of (a string instrument)</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">make a rhythmic sound</crowd-radio-button>",o,o,o
confidence,"<crowd-radio-button name="def_1-0" value="def_1-0">freedom from doubt; belief in yourself and your abilities</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a feeling of trust (in someone or something)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a state of confident hopefulness that events will be favorable</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">a trustful relationship</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">a secret that is confided or entrusted to another</crowd-radio-button>",o,o,attitude,"<crowd-radio-button name="def_2-0" value="def_2-0">a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the arrangement of the body and its limbs</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a theatrical pose created for effect</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">position of aircraft or spacecraft relative to a frame of reference (the horizon or direction of motion)</crowd-radio-button>",o,o,o
splays,"<crowd-radio-button name="def_1-0" value="def_1-0">an outward bevel around a door or window that makes it seem larger</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">spread open or apart</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">turn outward</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">move out of position</crowd-radio-button>",o,o,o,splay,"<crowd-radio-button name="def_2-0" value="def_2-0">an outward bevel around a door or window that makes it seem larger</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">spread open or apart</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">turn outward</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">move out of position</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">turned outward in an ungainly manner</crowd-radio-button>",o,o
beatification,"<crowd-radio-button name="def_1-0" value="def_1-0">a state of supreme happiness</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the action of rendering supremely blessed and extremely happy</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">(Roman Catholic Church) an act of the Pope who declares that a deceased person lived a holy life and is worthy of public veneration; a first step toward canonization</crowd-radio-button>",o,o,o,o,roman_catholic,"<crowd-radio-button name="def_2-0" value="def_2-0">a member of the Roman Catholic Church</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the Christian Church based in the Vatican and presided over by a pope and an episcopal hierarchy</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of or relating to or supporting Romanism</crowd-radio-button>",o,o,o,o
drip,"<crowd-radio-button name="def_1-0" value="def_1-0">flowing in drops; the formation and falling of drops of liquid</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the sound of a liquid falling drop by drop</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">(architecture) a projection from a cornice or sill designed to protect the area below from rainwater (as over a window or doorway)</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">fall in drops</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">let or cause to fall in drops</crowd-radio-button>",o,o,descend,"<crowd-radio-button name="def_2-0" value="def_2-0">move downward and lower, but not necessarily all the way</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">come from; be connected by a relationship of blood, for example</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">do something that one considers to be below one's dignity</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">come as if by falling</crowd-radio-button>",o,o,o
blinked,"<crowd-radio-button name="def_1-0" value="def_1-0">briefly shut the eyes</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">force to go away by blinking</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">gleam or glow intermittently</crowd-radio-button>",o,o,o,o,blink,"<crowd-radio-button name="def_2-0" value="def_2-0">a reflex that closes and opens the eyes rapidly</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">briefly shut the eyes</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">force to go away by blinking</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">gleam or glow intermittently</crowd-radio-button>",o,o,o
ameliorating,"<crowd-radio-button name="def_1-0" value="def_1-0">to make better</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">get better</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">tending to ameliorate</crowd-radio-button>",o,o,o,o,bettering,"<crowd-radio-button name="def_2-0" value="def_2-0">surpass in excellence</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">to make better</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">get better</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">changing for the better</crowd-radio-button>",o,o,o
redundancy,"<crowd-radio-button name="def_1-0" value="def_1-0">repetition of messages to reduce the probability of errors in transmission</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the attribute of being superfluous and unneeded</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">(electronics) a system design that duplicates components to provide alternatives in case one component fails</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">repetition of an act needlessly</crowd-radio-button>",o,o,o,survival,"<crowd-radio-button name="def_2-0" value="def_2-0">a state of surviving; remaining alive</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a natural process resulting in the evolution of organisms best adapted to the environment</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">something that survives</crowd-radio-button>",o,o,o,o
mist,"<crowd-radio-button name="def_1-0" value="def_1-0">a thin fog with condensation near the ground</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">become covered with mist</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">make less visible or unclear</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">spray finely or cover with mist</crowd-radio-button>",o,o,o,sprayed,"<crowd-radio-button name="def_2-0" value="def_2-0">be discharged in sprays of liquid</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">scatter in a mass or jet of droplets</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">cover by spraying with a liquid</crowd-radio-button>",o,o,o,o
boat,"<crowd-radio-button name="def_1-0" value="def_1-0">a small vessel for travel on water</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a dish (often boat-shaped) for serving gravy or sauce</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">ride in a boat on water</crowd-radio-button>",o,o,o,o,chair,"<crowd-radio-button name="def_2-0" value="def_2-0">a seat for one person, with a support for the back</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the position of professor</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the officer who presides at the meetings of an organization</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">an instrument of execution by electrocution; resembles an ordinary seat for one person</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">a particular seat in an orchestra</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">act or preside as chair, as of an academic department in a university</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">preside over</crowd-radio-button>"
skipper,"<crowd-radio-button name="def_1-0" value="def_1-0">a student who fails to attend classes</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">an officer who is licensed to command a merchant ship</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the naval officer in command of a military ship</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">work as the skipper on a vessel</crowd-radio-button>",o,o,o,attend,"<crowd-radio-button name="def_2-0" value="def_2-0">be present at (meetings, church services, university), etc.</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">take charge of or deal with</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">to accompany as a circumstance or follow as a result</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">work for or be a servant to</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">give heed (to)</crowd-radio-button>",o,o
