word_1,def_1-1,qual_1-1_start,qual_1-1_end,def_1-2,qual_1-2_start,qual_1-2_end,def_1-3,qual_1-3_start,qual_1-3_end,def_1-4,qual_1-4_start,qual_1-4_end,def_1-5,qual_1-5_start,qual_1-5_end,def_1-6,qual_1-6_start,qual_1-6_end,def_1-7,qual_1-7_start,qual_1-7_end,word_2,def_2-1,qual_2-1_start,qual_2-1_end,def_2-2,qual_2-2_start,qual_2-2_end,def_2-3,qual_2-3_start,qual_2-3_end,def_2-4,qual_2-4_start,qual_2-4_end,def_2-5,qual_2-5_start,qual_2-5_end,def_2-6,qual_2-6_start,qual_2-6_end,def_2-7,qual_2-7_start,qual_2-7_end,relationship
chord,"a straight line connecting two points on a curve",,,"a combination of three or more notes that blend harmoniously when sounded together",,,"play chords on (a string instrument)",,,"bring into consonance, harmony, or accord while making music or singing",,,,<!--,-->,,<!--,-->,,<!--,-->,harmonizing,"go together",,,"write a harmony for",,,"sing or play in harmony",,,"bring (several things) into consonance or relate harmoniously",,,"bring into consonance or accord",,,"bring into consonance, harmony, or accord while making music or singing",,,,<!--,-->,RelatedTo
lord,"terms referring to the Judeo-Christian God",,,"a person who has general authority over others",,,"a titled peer of the realm",,,"make a lord of someone",,,,<!--,-->,,<!--,-->,,<!--,-->,younger,"used of the younger of two persons of the same name especially used to distinguish a son from his father",,,"(used of living things especially persons) in an early period of life or development or growth",,,"(of crops) harvested at an early stage of development; before complete maturity",,,"suggestive of youth; vigorous and fresh",,,"being in its early stage",,,"not tried or tested by experience",,,,<!--,-->,RelatedTo
sandbag,"a bag filled with sand; used as a weapon or to build walls or as ballast",,,"treat harshly or unfairly",,,"compel by coercion, threats, or crude means",,,"hit something or somebody as if with a sandbag",,,"downplay one's ability (towards others) in a game in order to deceive, as in gambling",,,"protect or strengthen with sandbags; stop up",,,,<!--,-->,dragoon,"a member of a European military unit formerly composed of heavily armed cavalrymen",,,"compel by coercion, threats, or crude means",,,"subjugate by imposing troops",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
auditor,"someone who listens attentively",,,"a student who attends a course but does not take it for credit",,,"a qualified accountant who inspects the accounting records and practices of a business or other organization",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,lecture,"a speech that is open to the public",,,"a lengthy rebuke",,,"teaching by giving a discourse on some subject (typically to a class)",,,"deliver a lecture or talk",,,"censure severely or angrily",,,,<!--,-->,,<!--,-->,RelatedTo
whisk,"a mixer incorporating a coil of wires; used for whipping eggs or cream",,,"a small short-handled broom used to brush clothes",,,"move somewhere quickly",,,"move quickly and nimbly",,,"brush or wipe off lightly",,,"whip with or as if with a wire whisk",,,,<!--,-->,broom,"a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle",,,"any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers",,,"common Old World heath represented by many varieties; low evergreen grown widely in the northern hemisphere",,,"sweep with a broom or as if with a broom",,,"finish with a broom",,,,<!--,-->,,<!--,-->,IsA
drown,"cover completely or make imperceptible",,,"get rid of as if by submerging",,,"die from being submerged in water, getting water into the lungs, and asphyxiating",,,"kill by submerging in water",,,"be covered with or submerged in a liquid",,,,<!--,-->,,<!--,-->,eliminate,"terminate, end, or take out",,,"do away with",,,"kill in large numbers",,,"dismiss from consideration or a contest",,,"eliminate from the body",,,"remove from a contest or race",,,"remove (an unknown variable) from two or more equations",,,MannerOf
muffle,"a kiln with an inner chamber for firing things at a low temperature",,,"conceal or hide",,,"deaden (a sound or noise), especially by wrapping",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,flame,"the process of combustion of inflammable materials producing heat and light and (often) smoke",,,"shine with a sudden light",,,"be in flames or aflame",,,"criticize harshly, usually via an electronic medium",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
anchorage,"the condition of being secured to a base",,,"a fee for anchoring",,,"a city in south central Alaska",,,"place for vessels to anchor",,,"the act of anchoring",,,,<!--,-->,,<!--,-->,queue,"a line of people or vehicles waiting for something",,,"(information processing) an ordered list of tasks to be performed or messages to be transmitted",,,"a braid of hair at the back of the head",,,"form a queue, form a line, stand in line",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
uneasiness,"feelings of anxiety that make you tense and irritable",,,"physical discomfort (as mild sickness or depression)",,,"embarrassment deriving from the feeling that others are critically aware of you",,,"the trait of seeming ill at ease",,,"inability to rest or relax or be still",,,,<!--,-->,,<!--,-->,uneasy,"lacking a sense of security or affording no ease or reassurance",,,"lacking or not affording physical or mental rest",,,"causing or fraught with or showing anxiety",,,"socially uncomfortable; unsure and constrained in manner",,,"relating to bodily unease that causes discomfort",,,,<!--,-->,,<!--,-->,RelatedTo
gem,"art highly prized for its beauty or perfection",,,"a crystalline rock that can be cut and polished for jewelry",,,"a person who is as brilliant and precious as a piece of jewelry",,,"a sweet quick bread baked in a cup-shaped pan",,,"a precious or semiprecious stone incorporated into a piece of jewelry",,,,<!--,-->,,<!--,-->,adorn,"make more attractive by adding ornament, colour, etc.",,,"be beautiful to look at",,,"furnish with power or authority; of kings or emperors",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
burke,"British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797)",,,"United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903)",,,"murder without leaving a trace on the body",,,"get rid of, silence, or suppress",,,,<!--,-->,,<!--,-->,,<!--,-->,suppress,"to put down by force or authority",,,"come down on or keep down by unjust use of one's authority",,,"control and refrain from showing; of emotions, desires, impulses, or behavior",,,"put out of one's consciousness",,,"reduce the incidence or severity of or stop",,,,<!--,-->,,<!--,-->,MannerOf
virulent,"extremely poisonous or injurious; producing venom",,,"infectious; having the ability to cause disease",,,"harsh or corrosive in tone",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,sulfurous,"of or related to or containing sulfur or derived from sulfur",,,"harsh or corrosive in tone",,,"characterized by oppressive heat and humidity",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
snow,"precipitation falling from clouds in the form of ice crystals",,,"a layer of snowflakes (white crystals of frozen water) covering the ground",,,"English writer of novels about moral dilemmas in academe (1905-1980)",,,"street names for cocaine",,,"fall as snow",,,"conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end",,,,<!--,-->,powder,"a solid substance in the form of tiny loose particles; a solid that has been pulverized",,,"a mixture of potassium nitrate, charcoal, and sulfur in a 75:15:10 ratio which is used in gunnery, time fuses, and fireworks",,,"any of various cosmetic or medical preparations dispensed in the form of a pulverized powder",,,"make into a powder by breaking up or cause to become dust",,,"apply powder to",,,,<!--,-->,,<!--,-->,RelatedTo
stumping,"campaigning for something by making political speeches (stump speeches)",,,"cause to be perplexed or confounded",,,"walk heavily",,,"travel through a district and make political speeches",,,"remove tree stumps from",,,,<!--,-->,,<!--,-->,campaigning,"the campaign of a candidate to be elected",,,"run, stand, or compete for an office or a position",,,"exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for",,,"go on a campaign; go off to war",,,,<!--,-->,,<!--,-->,,<!--,-->,IsA
downing,"United States landscape architect who designed the grounds of the White House and the Capitol Building (1815-1852)",,,"drink down entirely",,,"eat immoderately",,,"bring down or defeat (an opponent)",,,"shoot at and force to come down",,,"cause to come or go down",,,"improve or perfect by pruning or polishing",,,defeat,"an unsuccessful ending to a struggle or contest",,,"the feeling that accompanies an experience of being thwarted in attaining your goals",,,"win a victory over",,,"thwart the passage of",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
peas,"seed of a pea plant used for food",,,"the fruit or seed of a pea plant",,,"a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,food,"any substance that can be metabolized by an animal to give energy and build tissue",,,"any solid substance (as opposed to liquid) that is used as a source of nourishment",,,"anything that provides mental stimulus for thinking",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,IsA
future,"the time yet to come",,,"a verb tense that expresses actions or states in the future",,,"bulk commodities bought or sold at an agreed price for delivery at a specified future date",,,"yet to be or coming",,,"effective in or looking toward the future",,,"(of elected officers) elected but not yet serving",,,"a verb tense or other formation referring to events or states that have not yet happened",,,foresee,"realize beforehand",,,"picture to oneself; imagine possible",,,"act in advance of; deal with ahead of time",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
blamed,"put or pin the blame on",,,"harass with constant criticism",,,"attribute responsibility to",,,"expletives used informally as intensifiers",,,,<!--,-->,,<!--,-->,,<!--,-->,damned,"people who are condemned to eternal punishment",,,"wish harm upon; invoke evil upon",,,"expletives used informally as intensifiers",,,"in danger of the eternal punishment of Hell",,,"in a damnable manner",,,,<!--,-->,,<!--,-->,FormOf
cakewalk,"a strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake",,,"an easy accomplishment",,,"perform the cakewalk dance",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,dance,"an artistic form of nonverbal communication",,,"a party of people assembled for dancing",,,"taking a series of rhythmical steps (and movements) in time to music",,,"a party for social dancing",,,"move in a graceful and rhythmical way",,,"move in a pattern; usually to musical accompaniment; do or perform a dance",,,"skip, leap, or move up and down or sideways",,,MannerOf
obliterated,"mark for deletion, rub off, or erase",,,"make undecipherable or imperceptible by obscuring or concealing",,,"remove completely from recognition or memory",,,"do away with completely, without leaving a trace",,,"reduced to nothingness",,,,<!--,-->,,<!--,-->,slang,"informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar",,,"a characteristic language of a particular group (as among thieves)",,,"use slang or vulgar language",,,"fool or hoax",,,"abuse with coarse language",,,,<!--,-->,,<!--,-->,HasContext
worth,"an indefinite quantity of something having a specified value",,,"the quality that renders something desirable or valuable or useful",,,"French couturier (born in England) regarded as the founder of Parisian haute couture; noted for introducing the bustle (1825-1895)",,,"worthy of being treated in a particular way; ;  (often used ironically)",,,"having a specified value",,,,<!--,-->,,<!--,-->,repaying,"pay back",,,"make repayment for or return something",,,"act or give recompense in recognition of someone's behavior or actions",,,"answer back",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
proclaim,"declare formally; declare someone to be something; of titles",,,"state or announce",,,"affirm or declare as an attribute or quality of",,,"praise, glorify, or honor",,,,<!--,-->,,<!--,-->,,<!--,-->,entitle,"give the right to",,,"give a title to",,,"give a title to someone; make someone a member of the nobility",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,MannerOf
balsam,"any seed plant yielding balsam",,,"any of various fragrant oleoresins used in medicines and perfumes",,,"an ointment containing a fragrant resin",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,oil,"a slippery or viscous liquid or liquefiable substance not miscible with water",,,"oil paint containing pigment that is used by an artist",,,"a dark oil consisting mainly of hydrocarbons",,,"any of a group of liquid edible fats that are obtained from plants",,,"cover with oil, as if by rubbing",,,"administer an oil or ointment to ; often in a religious ceremony of blessing",,,,<!--,-->,RelatedTo
affixation,"the result of adding an affix to a root word",,,"formation of a word by means of an affix",,,"the act of attaching or affixing something",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,affix,"a linguistic element added to a word to produce an inflected or derived form",,,"attach to",,,"add to the very end",,,"attach or become attached to a stem word",,,,<!--,-->,,<!--,-->,,<!--,-->,DerivedFrom
static,"a crackling or hissing noise caused by electrical interference",,,"angry criticism",,,"not in physical motion",,,"concerned with or producing or caused by static electricity",,,"showing little if any change",,,,<!--,-->,,<!--,-->,criticism,"disapproval expressed by pointing out faults or shortcomings",,,"a serious examination and judgment of something",,,"a written evaluation of a work of literature",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,IsA
conditioned,"establish a conditioned response",,,"develop (children's) behavior by instruction and practice; especially to teach self-control",,,"specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement",,,"put into a better state",,,"apply conditioner to in order to make smooth and shiny",,,"established by conditioning or learning",,,"physically fit",,,dependent,"a person who relies on another person for support (especially financial support)",,,"relying on or requiring a person or thing for support, supply, or what is needed",,,"contingent on something else",,,"(of a clause) unable to stand alone syntactically as a complete sentence",,,"held from above",,,"being under the power or sovereignty of another or others",,,"addicted to a drug",,,RelatedTo
pest,"a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal",,,"any epidemic disease with a high death rate",,,"a persistently annoying person",,,"any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.",,,,<!--,-->,,<!--,-->,,<!--,-->,weed,"any plant that crowds out cultivated plants",,,"a black band worn by a man (on the arm or hat) as a sign of mourning",,,"street names for marijuana",,,"clear of weeds",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
alienating,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness",,,"transfer property or ownership",,,"make withdrawn or isolated or emotionally dissociated",,,"causing hostility or loss of friendliness",,,,<!--,-->,,<!--,-->,,<!--,-->,antagonistic,"indicating opposition or resistance",,,"characterized by antagonism or antipathy",,,"arousing animosity or hostility",,,"used especially of drugs or muscles that counteract or neutralize each other's effect",,,"incapable of harmonious association",,,,<!--,-->,,<!--,-->,SimilarTo
plastic,"generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives",,,"a card (usually plastic) that assures a seller that the person using it has a satisfactory credit rating and that the issuer will see to it that the seller receives payment for the merchandise delivered",,,"capable of being molded or modeled (especially of earth or clay or other soft material)",,,"capable of being influenced or formed",,,"forming or capable of forming or molding or fashioning",,,,<!--,-->,,<!--,-->,carbon,"an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds",,,"a thin paper coated on one side with a dark waxy substance (often containing carbon); used to transfer characters from the original to an under sheet of paper",,,"a copy made with carbon paper",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,MadeOf
ranger,"a member of the Texas state highway patrol; formerly a mounted lawman who maintained order on the frontier",,,"an official who is responsible for managing and protecting an area of forest",,,"a member of a military unit trained as shock troops for hit-and-run raids",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,plunder,"goods or money obtained illegally",,,"take illegally; of intellectual property",,,"plunder (a town) after capture",,,"steal goods; take as spoils",,,"destroy and strip of its possession",,,,<!--,-->,,<!--,-->,RelatedTo
elaborated,"add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing",,,"produce from basic elements or sources; change into a more developed product",,,"make more complex, intricate, or richer",,,"work out in detail",,,"developed or executed with care and in minute detail; ; - John Buchan",,,,<!--,-->,,<!--,-->,careful,"exercising caution or showing care or attention",,,"cautiously attentive",,,"unhurried and with care and dignity",,,"full of cares or anxiety; -Luke 10.41",,,"mindful of the future in spending money",,,,<!--,-->,,<!--,-->,SimilarTo
retail,"the selling of goods to consumers; usually in small quantities and not for resale",,,"be sold at the retail level",,,"sell on the retail market",,,"at a retail price",,,,<!--,-->,,<!--,-->,,<!--,-->,commerce,"transactions (sales and purchases) having the objective of supplying commodities (goods and services)",,,"the United States federal department that promotes and administers domestic and foreign trade (including management of the census and the patent office); created in 1913",,,"social exchange, especially of opinions, attitudes, etc.",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,HasContext
jawed,"talk socially without exchanging too much information",,,"talk incessantly and tiresomely",,,"chew (food); to bite and grind with the teeth",,,"censure severely or angrily",,,"of animals having jaws of a specified type",,,,<!--,-->,,<!--,-->,jaw,"the part of the skull of a vertebrate that frames the mouth and holds the teeth",,,"the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth",,,"holding device consisting of one or both of the opposing parts of a tool that close to hold an object",,,"talk socially without exchanging too much information",,,"talk incessantly and tiresomely",,,"chew (food); to bite and grind with the teeth",,,"censure severely or angrily",,,FormOf
muzzle,"the open circular discharging end of a gun",,,"forward projecting part of the head of certain animals; includes the jaws and nose",,,"a leather or wire restraint that fits over an animal's snout (especially a dog's nose and jaws) and prevents it from eating or biting",,,"restraint put into a person's mouth to prevent speaking or shouting",,,"fit with a muzzle",,,"prevent from speaking out",,,"tie a gag around someone's mouth in order to silence them",,,jaws,"the part of the skull of a vertebrate that frames the mouth and holds the teeth",,,"the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth",,,"holding device consisting of one or both of the opposing parts of a tool that close to hold an object",,,"talk socially without exchanging too much information",,,"talk incessantly and tiresomely",,,"chew (food); to bite and grind with the teeth",,,"censure severely or angrily",,,RelatedTo
reinforcement,"a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission",,,"information that makes more forcible or convincing",,,"(psychology) a stimulus that strengthens or weakens the behavior that produced it",,,"a device designed to provide additional strength",,,"an act performed to strengthen approved behavior",,,,<!--,-->,,<!--,-->,troop,"a group of soldiers",,,"a cavalry unit corresponding to an infantry company",,,"a unit of Girl or Boy Scouts",,,"an orderly crowd",,,"march in a procession",,,"move or march as if in a crowd",,,,<!--,-->,RelatedTo
sizing,"any glutinous material used to fill pores in surfaces or to stiffen fabrics",,,"cover or stiffen or glaze a porous material with size or sizing (a glutinous substance)",,,"sort according to size",,,"make to a size; bring to a suitable size",,,,<!--,-->,,<!--,-->,,<!--,-->,buttery,"a small storeroom for storing foods or wines",,,"a teashop where students in British universities can purchase light meals",,,"unpleasantly and excessively suave or ingratiating in manner or speech",,,"resembling or containing or spread with butter",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
agape,"(Christian theology) the love of God or Christ for mankind",,,"selfless love of one person for another without sexual implications (especially love that is spiritual in nature)",,,"a religious meal shared as a sign of love and fellowship",,,"with the mouth wide open as in wonder or awe",,,,<!--,-->,,<!--,-->,,<!--,-->,charity,"a foundation created to promote the public good (not for assistance to any particular individuals)",,,"a kindly and lenient attitude toward people",,,"an activity or gift that benefits the public at large",,,"pinnate-leaved European perennial having bright blue or white flowers",,,"an institution set up to provide help to the needy",,,,<!--,-->,,<!--,-->,Synonym
sticker,"a small sharp-pointed tip resembling a spike on a stem or leaf",,,"an adhesive label",,,"a particularly difficult or baffling question or problem",,,"a short knife with a pointed blade used for piercing or stabbing",,,,<!--,-->,,<!--,-->,,<!--,-->,poser,"a person who habitually pretends to be something he is not",,,"a person who poses for a photographer or painter or sculptor",,,"a particularly difficult or baffling question or problem",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
vaporised,"cause to change into a vapor",,,"change into a vapor",,,"turn into gas",,,"lose or cause to lose liquid by vaporization leaving a more concentrated residue",,,,<!--,-->,,<!--,-->,,<!--,-->,vaporized,"kill with or as if with a burst of gunfire or electric current or as if by shooting",,,"turn into gas",,,"lose or cause to lose liquid by vaporization leaving a more concentrated residue",,,"decrease rapidly and disappear",,,"converted into a gas or vapor",,,,<!--,-->,,<!--,-->,FormOf
reclining,"the act of assuming or maintaining a reclining position",,,"move the upper body backwards and down",,,"cause to recline",,,"lean in a comfortable resting position",,,,<!--,-->,,<!--,-->,,<!--,-->,recline,"move the upper body backwards and down",,,"cause to recline",,,"lean in a comfortable resting position",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,FormOf
superfine,"of extremely fine size or texture",,,"excessively delicate or refined",,,"(used especially of merchandise) very fine in quality",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,super,"a caretaker for an apartment house; represents the owner as janitor and rent collector",,,"of the highest quality",,,"including more than a specified category",,,"extremely large",,,"to an extreme degree",,,,<!--,-->,,<!--,-->,RelatedTo
pestle,"machine consisting of a heavy bar that moves vertically for pounding or crushing ores",,,"a heavy tool of stone or iron (usually with a flat base and a handle) that is used to grind and mix material (as grain or drugs or pigments) against a slab of stone",,,"a club-shaped hand tool for grinding and mixing substances in a mortar",,,"grind, mash or pulverize in a mortar",,,,<!--,-->,,<!--,-->,,<!--,-->,constable,"a lawman with less authority and jurisdiction than a sheriff",,,"English landscape painter (1776-1837)",,,"a police officer of the lowest rank",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
neighborhood,"a surrounding or nearby region",,,"people living near one another",,,"the approximate amount of something (usually used prepositionally as in `in the region of')",,,"an area within a city or town that has some distinctive features (especially one forming a community)",,,,<!--,-->,,<!--,-->,,<!--,-->,proximity,"the property of being close together",,,"the region close around a person or thing",,,"a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
alienated,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness",,,"transfer property or ownership",,,"make withdrawn or isolated or emotionally dissociated",,,"socially disoriented",,,"caused to be unloved",,,,<!--,-->,,<!--,-->,disoriented,"cause to be lost or disoriented",,,"having lost your bearings; confused as to time or place or personal identity",,,"socially disoriented",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
patterned,"plan or create according to a model or models",,,"form a pattern",,,"having patterns (especially colorful patterns)",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,watered,"supply with water, as with channels or ditches or streams",,,"provide with water",,,"secrete or form water, as tears or saliva",,,"fill with tears",,,"(of silk fabric) having a wavelike pattern",,,,<!--,-->,,<!--,-->,SimilarTo
worths,"an indefinite quantity of something having a specified value",,,"the quality that renders something desirable or valuable or useful",,,"French couturier (born in England) regarded as the founder of Parisian haute couture; noted for introducing the bustle (1825-1895)",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,worth,"an indefinite quantity of something having a specified value",,,"the quality that renders something desirable or valuable or useful",,,"French couturier (born in England) regarded as the founder of Parisian haute couture; noted for introducing the bustle (1825-1895)",,,"worthy of being treated in a particular way; ;  (often used ironically)",,,"having a specified value",,,,<!--,-->,,<!--,-->,RelatedTo
simulation,"the act of imitating the behavior of some situation or some process by means of something suitably analogous (especially for the purpose of study or personnel training)",,,"(computer science) the technique of representing the real world by a computer program",,,"representation of something (sometimes on a smaller scale)",,,"the act of giving a false appearance",,,,<!--,-->,,<!--,-->,,<!--,-->,simulate,"reproduce someone's behavior or looks",,,"create a representation or model of",,,"make a pretence of",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
revived,"cause to regain consciousness",,,"give new life or energy to",,,"be brought back to life, consciousness, or strength",,,"restore from a depressed, inactive, or unused state",,,"return to consciousness",,,"restored to consciousness or life or vigor",,,"given fresh life or vigor or spirit",,,resuscitated,"cause to regain consciousness",,,"return to consciousness",,,"restored to life or consciousness",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,SimilarTo
oil,"a slippery or viscous liquid or liquefiable substance not miscible with water",,,"oil paint containing pigment that is used by an artist",,,"a dark oil consisting mainly of hydrocarbons",,,"any of a group of liquid edible fats that are obtained from plants",,,"cover with oil, as if by rubbing",,,"administer an oil or ointment to ; often in a religious ceremony of blessing",,,,<!--,-->,beginnings,"the event consisting of the start of something",,,"the time at which something is supposed to begin",,,"the first part or section of something",,,"the place where something begins, where it springs into being",,,"the act of starting something",,,,<!--,-->,,<!--,-->,RelatedTo
symbolizing,"the act of representing something with a symbol",,,"express indirectly by an image, form, or model; be a symbol",,,"represent or identify by using a symbol; use symbols",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,conception,"an abstract or general idea inferred or derived from specific instances",,,"the act of becoming pregnant; fertilization of an ovum by a spermatozoon",,,"the event that occurred at the beginning of something",,,"the creation of something in the mind",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
bach,"German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)",,,"the music of Bach",,,"lead a bachelor's existence",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,us,"North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776",,,"a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine",,,"a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons",,,"the 21st letter of the Roman alphabet",,,,<!--,-->,,<!--,-->,,<!--,-->,HasContext
backpedaled,"pedal backwards on a bicycle",,,"step backwards, in boxing",,,"modify one's opinion, make it less strong",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,us,"North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776",,,"a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine",,,"a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons",,,"the 21st letter of the Roman alphabet",,,,<!--,-->,,<!--,-->,,<!--,-->,HasContext
lambasting,"beat with a cane",,,"censure severely or angrily",,,"beat with a cane",,,"censure severely or angrily",,,,<!--,-->,,<!--,-->,,<!--,-->,reprimand,"an act or expression of criticism and censure",,,"rebuke formally",,,"censure severely or angrily",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
settlement,"a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government",,,"a community of people smaller than a town",,,"a conclusive resolution of a matter and disposition of it",,,"the act of colonizing; the establishment of colonies",,,"something settled or resolved; the outcome of decision making",,,"an area where a group of families live together",,,"termination of a business operation by using its assets to discharge its liabilities",,,pioneers,"someone who helps to open up a new line of research or technology or art",,,"one the first colonists or settlers in a new territory",,,"open up an area or prepare a way",,,"take the lead or initiative in; participate in the development of",,,"open up and explore a new area",,,,<!--,-->,,<!--,-->,RelatedTo
thawing,"the process whereby heat changes something from a solid to a liquid",,,"warm weather following a freeze; snow and ice melt",,,"become or cause to become soft or liquid",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,thaw,"the process whereby heat changes something from a solid to a liquid",,,"warm weather following a freeze; snow and ice melt",,,"a relaxation or slackening of tensions or reserve; becoming less hostile",,,"become or cause to become soft or liquid",,,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
feigned,"make believe with the intent to deceive",,,"make a pretence of",,,"not genuine",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,pretense,"the act of giving a false appearance",,,"pretending with intention to deceive",,,"imaginative intellectual play",,,"a false or unsupportable quality",,,"an artful or simulated semblance",,,,<!--,-->,,<!--,-->,RelatedTo
flame,"the process of combustion of inflammable materials producing heat and light and (often) smoke",,,"shine with a sudden light",,,"be in flames or aflame",,,"criticize harshly, usually via an electronic medium",,,,<!--,-->,,<!--,-->,,<!--,-->,brilliant,"of surpassing excellence",,,"having or marked by unusual and impressive intelligence",,,"characterized by grandeur",,,"having striking color",,,"full of light; shining intensely",,,"clear and sharp and ringing",,,,<!--,-->,RelatedTo
ordinary,"a judge of a probate court",,,"the expected or commonplace condition or situation",,,"a clergyman appointed to prepare condemned prisoners for death",,,"an early bicycle with a very large front wheel and small back wheel",,,"(heraldry) any of several conventional figures used on shields",,,"not exceptional in any way especially in quality or ability or size or degree",,,"lacking special distinction, rank, or status; commonly encountered",,,everyday,"found in the ordinary course of events; ; ; - Anita Diamant",,,"appropriate for ordinary or routine occasions",,,"commonplace and ordinary",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
